,claim,label,justification,claim_date,speaker,reporting_source,location_ISO_code
25,The Kenyan judiciary does not even get 1% of the national budget.,Supported,The answer and source show clearly that the judiciary do get less that 1% so the claim is supported.,2020-08-23,David Maraga,NTV Kenya,KE
26,"I will raise taxes for anybody making over $400,000. … No new taxes for people making less than $400,000.",Not Enough Evidence,"The claim is specific about the threshold of $400,000. There are two parts to the claim-one for people making over $400,000 and one for people making less than $400,000. The answer does not refer to the $400,000 threshold and does not specifically answer the question. Also, the answer refuses to commit anyway saying 'these numbers may change'. Further questions are required.",2020-08-23,Joe Biden,ABC News,
27,The counties are striving to reach the 10% [allocation to agriculture] recommended by the Malabo declaration.,Not Enough Evidence,No evidence to support progress or planning to achieve 10% allocation.,2020-08-23,Wycliffe Oparanya,youtube,KE
28,"Kenya only disposes of about 300,000 cases.",Supported,Confirmed According to Chief justice David Maraga ,2020-08-23,David Maraga,NTV Kenya,KE
29,"The judiciary of Kenya have an average of 400,000 cases being filed in our courts every year.",Supported,Correct,2020-08-23,David Maraga ,Youtube: NTV Kenya,KE
30,"There is an average of 400,000 cases being filed in Kenya's courts every year.",Supported,the evidence supports the claim,2020-08-23,David Maraga,NTV Kenya,KE
31,There is a ‘global average’ for the number of judges and magistrates to number of people in Kenya.,Not Enough Evidence,There is not enough evidence to show there is a global average so I can't support or refute the claim.,2020-08-23,David Maraga,NTV Kenya,KE
32,"The Kenya judiciary have one magistrate serving over 77,000 people.",Supported,"87000 is significantly different than the claimed 77,000 but since it does say ""over 77,000"" it is technically true. ",2020-08-23,David Maraga ,Youtube: NTV Kenya,KE
33,The judiciary does not even get 1% of the national Kenyan budget.,Supported,"allocated Ksh 40.5 billion to Parliament and Ksh 19.4 billion to the
Judiciary.

0.69%",2020-08-23,David Maraga ,Youtube: NTV Kenya,KE
34,All government schools in India are being privatised.,Refuted,There is no plan by the Indian government to privatize primary education as said by the Minister of Human Resource Development,2020-08-22,,,IN
35,The current Ghana administration has resulted in a decline in unemployment rates from 11.9% in 2015 to 7.3% in 2019.,Not Enough Evidence,Not enough evidence covering specified years.,2020-08-22,Nana Addo Dankwa Akufo-Addo ,,GH
36,If one gets the Spanish flu you have a 50% chance of dying,Refuted,the numbers dont match. If we take the highest figure of 40 million deaths and the infection number of 500 million,2020-08-22,Donald Trump ,,
37,"Ghana's economy previously grew at 3.4% under the form President Mahama's government and on average, for three successive years, at 7% per year with the current administration.",Supported,The GDP percentages in the answers and sources show that the claim is correct so it is supported.,2020-08-22,Nana Addo Dankwa Akufo-Addo ,,GH
38,"Kenya settles  about 300,000 court cases each year.",Supported,"The average number of settled cases is indeed around 300,000.",2020-08-22,David Maraga,NTV,KE
39,There is a ‘global average’ for the number of judges and magistrates to number of people,Not Enough Evidence,There is not enough evidence to know if this claim is correct. There is no indication that there is a 'global average' ,2020-08-22,David Maraga,NTV,KE
40,Kenya's judiciary does not even get 1% of the national budget,Supported,"Q&A 1's answer seems unrelated to the claim, but Q&A 2 does give an answer that states that the judiciary of Kenya has been receiving less than 1% of the national budget as claimed",2020-08-22,David Maraga,NTV,KE
41,"In Kenya, one Magistrate serves 77,000 people.",Refuted,"The figure in the claim is not hugely different but its enough that it cant be considered correct, so the claim is refuted. ",2020-08-22,David Maraga,NTV,KE
42,"In Kenya now, with a population of about 48 million, they have one judge serving over 300,000 people.",Supported,"In 2019, one judge serves 311,000 people in Kenya.",2020-08-22,David Maraga,NTV,KE
43,No Democrats have condemned the rioting that has occurred alongside recent protests.,Refuted,Condemned by Joe Biden Leader of the Democratic party and confirmed via source.,2020-08-21,AC Friess,Facebook,
44,"A pizza place in Washington, D.C. -- Comet Ping Pong has ties to Hillary Clinton and other leading Democrats",Refuted,No. There is not proven links at all,2020-08-21,,facebook post,US
45,South Africans that drink are amongst the top drinkers in the world.,Supported,"Is says ""amongst the top drinkers"" not the top, so since they are 6th, this could be plausible",2020-08-21,Zweli Kkhize,News24,ZA
46,South Africans are among the top drinkers in the world.,Supported,The answers and sources show that they are ranked 6th in the world so the claim is supported.,2020-08-21,Zweli Mkhize,news article,ZA
47,South African consume more alcohol per person on average than anywhere else in Africa.,Refuted,It seems that SA consumes less alcohol. Therefore the claim is refuted ,2020-08-21,Zweli Kkhize,News24,ZA
48,South Africans drink more per person than anywhere else in Africa,Refuted,The second answer and source clearly show that there are other parts of Africa where they drink more so the claim is refuted.,2020-08-21,Zweli Mkhize,News24,
49,Only 31% of South African drink alcohol,Not Enough Evidence,"Q1 is related to the claim but is too specific to either support or refute the claim.
There is a better answer to this question on the source page.
The claim was made in 2021 yet Q2 specifies 2016, which is probably the latest available data. How can there be no answer if the question switches to 2016? In fact, the source from answer 1 answers Q2.",2020-08-21,Zweli Kkhize,News24,ZA
50,South Africans drink more per person than anywhere else in Africa.,Refuted,Good clear statistics clearly show three countries appear above South Africa in the alcohol per person statistics.,2020-08-21,Zweli Mkhize,news article,ZA
51,world bank currently rates Nigeria as one of ten top performing countries on its Doing Business Index.,Supported,Nigeria is in the World Bank's top 10 Doing Business Index ,2020-08-21,Presidency Nigeria,twitter,NG
52,South Africans are among the top drinkers in the world,Supported,The answer suggests that the average consumption puts SA in the top 6 countries. ,2020-08-21,Zweli Mkhize,News24,
53,Only 31% of South Africans drink alcohol,Supported,"From the evidence, the claim that only 31% of South Africans drink alcohol is supported, seeing as 69% of South Africans over the age of 15 did not drink alcohol.",2020-08-21,Zweli Mkhize,News24,ZA
54,Only 31% of South Africans drink alcohol.,Supported,"this claims appears to be true, 69% of south africans, on a recent survey, didn't drink alcohol. ",2020-08-21,Zweli Mkhize,news article,ZA
55,Joe Biden officiated a gay wedding at the White House in 2016.,Conflicting Evidence/Cherrypicking,Q&A establish that Biden officiated and where exactly the wedding took place.,2020-08-20,Jayke Townsend,Twitter ,US
56,Democratic Arizona Superintendent of Public Instruction Kathy Hoffman is “pushing” for sex education that would teach kindergartners about masturbation and sexual positions.,Refuted,"Seems from the claim, that the senator was pushing for difference in sex education, however the measures would have been age appropriate if they had been approved. Therefore the claim is refuted",2020-08-20,Linda Traitz,Facebook,US
57,"The interface of the COVID-19 Exposure Notification System, a contact tracing programme developed by Apple and Google has been secretly inserted onto phones and tracks user’s location.",Refuted,It's clear from the Q&A that this claim is not true and has been backed up by statements.,2020-08-20,@MayGodBlessHongKong,Facebook,HK
58,Democratic Arizona Superintendent of Public Instruction Kathy Hoffman was sworn into office on a Dr. Seuss book.,Refuted,“Too Many Moose!” by Lisa Bakos not Dr Seuss,2020-08-20,Linda Traitz,Facebook,US
59,India's Supreme Court recently changed its motto from ‘Satyamev Jayate’ to ‘Yato Dharmastato Jai’.,Refuted,"This claim is refuted. According to the QA pair, there has been no evidence of the Indian Supreme Court changing its motto, as evidenced by the wiki source. Therefore, this claim is refuted.",2020-08-20,@SunilAstay,Twitter,IN
60,"Democrats recited the US Pledge of Allegiance tonight and took out ""under God"".",Refuted,Under god is included in the transcription.,2020-08-20,Kimber L Byrd,Facebook,US
61,Democratic VP candidate Kamala Harris called young voters stupid.,Supported,Confirmed in QA pair/source.,2020-08-20,ForAmerica,Facebook,US
62,Israel has developed super-quick saliva test for COVID-19.,Supported,"I think Q2 only exists because Q1 forgot to ask if it was super-quick. The answer to Q1 confirms that it is.
Q&A1 supports the claim.",2020-08-20,nikunj shah ,Twitter,IN
63,Children are silent super-spreaders of coronavirus.,Refuted,children aren't any more super-spreaders than adults. ,2020-08-20,Mark Waghorn & Shivali Best,The Daily Mirror,GB
64,Social Security checks do not go through the U.S. postal service since 2013 because it's not secure,Conflicting Evidence/Cherrypicking,"mostly this is true, as options to receive social security checks in the mail are limited to certain circumstances, instead your options are Direct Deposit or
Onto a Direct Express® Debit Mastercard",2020-08-20,,Facebook,US
65,Candace Owens was fired from her show at One America News after a  racist outburst.,Refuted,It seems that the website is for satire and is therefore nit true.the claim is thus refuted,2020-08-19,Fallis Gunnungton,Taterforce One,US
66,President Trump is the most pro-gay president in American history.,Refuted,"The Q&A pair points to some very anti gay things trump did as president, so he is unlikely to be the most pro gay president in US history.",2020-08-19,Richard Grenell,Log Cabin Republicans PAC,US
67,"US billionaires became $400 billion richer during the COVID-19 pandemic, while millions lost their $600 a week in extra unemployment.",Conflicting Evidence/Cherrypicking,"From the evidence, it looks as though 50 top billionaires lost $232 billion between the market’s peak and this Tuesday; there is no mention of them becoming richer. However, nearly 30 million workers did lose $600 in enhanced weekly unemployment benefits.",2020-08-19,Former secretary of state Hillary Clinton,2020 Democratic National Convention,US
68,"Messages in Google Earth show the ""Deep States New Home,"" which shows up on the map as ""Setatspeed Emohwen Gardens"" near Guantanamo Bay, Cuba.",Refuted,QAs provide evidence that names of the 2 ‘Deep state’ locations were searched for and no evidence found of their existence; also that a real location - Guantanamo Bay - does show up as expected on Google Earth.,2020-08-19,raydio.active,TikTok,US
69,USA is the only major industrial economy to have it unemployment rate triple.,Supported,The figures show that the rate did roughy triple and that only Canada came close. So the claim is true.,2020-08-18,Bill Clinton,2020 Democratic National Convention,
70,The USA has only 4% of the worlds population but has 25% of the worlds Covid-19 Cases.,Supported,The answers support the claim.,2020-08-18,Bill Clinton,2020 Democratic National Convention,US
71,Donald Trump is trying to take away the health care by getting rid of the Affordable Care Act.,Supported,The answers and sources show that Trump was trying to get rid of the ACA so the claim is supported.,2020-08-18,Narrator of a health care video segment,2020 Democratic National Convention,US
72,Mughal Gardens Renamed To Dr. Rajendra Prasad Garden,Refuted,"On the official Mughal gardens website, it is the same name ",2020-08-18,@smitadeshmukh,twitter,IN
73,Trumps January 2018 travel ban was unlawful.,Refuted,Q&A 2 states the actuall law that made it legal for trump to issue a travel ban (§1182(f) to suspend the entry of aliens into the United States. Pp. 9–24.) thus refuting the claim the ban was unlawful.,2020-08-18,Attorney General Sally Yates,2020 Democratic National Convention,US
74,Raising the US federally required minimum wage to $15 an hour would give 40 million workers a pay raise and push the wage scale up for everyone else.,Conflicting Evidence/Cherrypicking,"Although millions of workers would receive a pay rise - it would be an estimated A total of 39.7 million workers would benefit. Also a contradiction of ""boost the wages of
17 million workers who would otherwise earn less than $15 per hour. 
The wages of many of the 10 million workers
whose wages would be slightly above the new federal minimum would also increase"". ",2020-08-17,Sen. Bernie Sanders,C-Span,US
75,Drinking vodka protects an individual against COVID-19.,Refuted,Alcohol makes you more likely to get infected.,2020-08-17,Lorenzo “Larry” Gadon,Facebook,PH
76,BJP MP and former Union Minister Alphons Kannanthanam  sent his mother's dead body from Delhi to Kerala for the funeral without revealing she died of Covid-19.,Refuted,The Rajya Sabha MP’s mother did not die due to Covid-19,2020-08-17,AutoRaja,Twitter,IN
77,"Drinking traditional Chinese medicine (TCM) or steroids, along with antibiotics at the onset of symptoms cures COVID-19.",Refuted,Disproved by scientists..,2020-08-17,Lorenzo “Larry” Gadon,Facebook,PH
78,The Sarang Jeil Church of Jesus took preventative measure against coronavirus but the government spread the virus to prevent Rev. Jeon Kwang-hun attending the anti-government demonstration on August 15th.,Refuted,It seems from  rhe 2nd QA that no measures were taken. Therefore the claim  is refuted ,2020-08-17,Rev. Jeon Kwang-hun,YouTube,KR
79,"In 2016, 33 million Americans voted by mail.",Supported,The answer and source show that there were 33 million absentee and mail in ballots in 2016 so the claim is supported.,2020-08-17,Catherine Cortez Masto,DNC,US
80,"In Michigan, US one of the three key states that enabled Donald Trump to win the presidential election in 2016, the winning margin averaged out to just over two votes per precinct.",Supported,The fifth answer and source show that the votes per precinct is 2.23 so the claim is supported.,2020-08-17,Michelle Obama,"Transcript DNC Speech, CNN, ",US
81,The Trump administration disbanded the pandemic response team that was given to them.,Supported,"The source shows he left and was not replaced, so the claim stands up. ",2020-08-17,Eva Longoria Baston,DNC,US
82,Auto workers across Michigan could have lost their jobs if not for Barack Obama and Joe Biden,Supported,"From the 2nd QA it seems that the Obama administration indeed helped the autoworkers, therefore the claim is supported",2020-08-17,Gretchen Whitmer,DNC,US
83,Vice President Biden and President Obama assembled a pandemic playbook to make sure that America was prepared and protected.,Supported,Evidence finds that the Obama administration did prepare a document called the Playbook for Early Response to High-Consequence Emerging Infectious Disease Threats and Biological Incidents. ,2020-08-17,Eva Longoria Baston,DNC,
84,"Nigeria is the largest producer of rice in Africa, ranking 14th in the world.",Supported,Confirmed via list provided as source for question 3.,2020-08-17,Taskar Vision,,NG
85,"There are many scientific studies saying masks should be worn only in enclosed spaces, such as in elevators and conference rooms, and not outdoors",Refuted,Masks are meant to be worn in both enclosed and outdoor spaces as well as public gatherings ,2020-08-17,Lorenzo “Larry” Gadon,Facebook,PH
86,"In the US, envelopes used for mail-in ballots in general elections reveal the party affiliation of the voter allowing postal workers to toss votes.",Refuted,The envelopes do not reveal party affiliations ,2020-08-17,Justin Bonanno ,Facebook,US
87,"In one of the states that determined the outcome"" of the 2016 presidential race, ""the winning margin averaged out to just two votes per precinct — two votes.",Supported,"This claim is supported. According to the QA pair, Michelle Obama stated that the winning margin averaged out to just two votes per precinct. Therefore, this claim is supported.",2020-08-17,Michelle Obama,YouTube,US
88,A sharp decline recently in novel coronavirus cases in New York was down to Gov. Andrew M. Cuomo handling of the situation.,Conflicting Evidence/Cherrypicking,"The evidence supports the decline of coronavirus cases, but blames Gov. Andrew M Como for increasing the number of confirmed cases.",2020-08-17,Gov. Andrew M. Cuomo,2020 Democratic National Convention,US
89,President Donald Trump threatened to delay the election and suggested that he will not leave office if he loses.,Conflicting Evidence/Cherrypicking,"QA pair confirms he suggested delaying the election in a tweet dated July 30th but in another QA pair he is quoted as saying he never even thought of that and why would he want to delay the election.

It is mentioned in QA pairs he ""joked"" about staying in office longer than the maximum 2 terms but QA pairs do not make reference to him saying he wont leave if he loses the election.


",2020-08-17,Bernie Sanders,DNC,
90,Social Security beneficiaries count on the post office to get their checks,Conflicting Evidence/Cherrypicking,"Evidence contains a lot of repeated questions and answers. Regardless, Q&As reveal that some people are still paid by paper cheques; however, many people are paid by direct deposit. Hence, not everyone counts on the post office to get their checks.",2020-08-17,Eva Longoria Baston,DNC,
91,Social Security beneficiaries count on the post office to get their checks.,Supported,In 2019 and 2020 99.1% of US Social Security beneficiaries got direct deposits.,2020-08-17,Eva Longoria Bastón,2020 Democratic National Convention,US
92,Vice President Biden and President Obama assembled a pandemic playbook to make sure that America was prepared and protected. The Trump administration disbanded the pandemic response team that was given to them.,Supported,It seems from the 3rd QA that the group was indeed disbanded therefore the claim is supported ,2020-08-17,Eva Longoria Bastón,2020 Democratic National Convention,GB
93,"Sweden, which does not require the wearing of masks in public, has had few deaths due to COVID-19",Refuted,QA pairs show it has had the highest rate of deaths.,2020-08-17,Lorenzo “Larry” Gadon,Facebook,PH
94,Beijing government announced that Chinese people should not travel to the United States or buy American-made products.,Refuted,No evidence to suggest that the Beijing Government announced these rules and there are no current rules in place regarding this claim. ,2020-08-16,,LINE messaging app,CN
95,MS Dhoni has exited the cricket team for refusing to campaign for BJP in Jharkhand election.,Refuted,"It seems from the answer that MS Dhoni left his team because the sport was straining. Therefore, the claim is refuted,",2020-08-16,,Facebook,IN
96,warm water is effective in curing joint pain,Refuted,The answer and credible source show that there is no cure for joint pain so the claim is refuted.,2020-08-16,,,
97,Walmart stores have stopped accepting cash payments.,Refuted,The answer and sources show that the store still accepts cash but would prefer exact amount in coins or payment by card so the claim is refuted.,2020-08-16,Craig Schoen,Facebook,CA
98,warm water is effective in curing asthma,Refuted,The second answer and source show that there is not a cure for asthma so the claim is refuted.,2020-08-16,,,
99,Cold drinks are the main cause of heart attacks.,Not Enough Evidence,The questions and answers do not look at the part of the claim that says that it is the main cause so there is not enough evidence. I would need to see some evidence of how many heart attacks are caused by cold drinks.,2020-08-16,,,
100,Facebook deleted a photo of Melania Trump with her sister and mother.,Refuted,"The source information in question 2 is the facebook post referenced in the claim. Whether or not this image shows Melania Trump's Mother or Audrey Gruss, Facebook has labeled the post containing the claim as False information
Checked by independent fact-checkers. Therefore depicting the claim as false and refuted.",2020-08-16,THomas Moore,Facebook,US
101,UK Prime Minister Boris Johnson apologised for colonial rule in India.,Refuted,From a parody/fake account.,2020-08-16,@BorisUKJohnson,Twitter,GB
102,Cold water affects the internal walls of the stomach. It affects the large intestine and results in cancer,Refuted,"This claim is refuted. According to the QA pairs, drinking cold water is safe and there is no way whatsoever it could harm you. The amount of water you drink is what is important. Therefore, this claim is refuted.",2020-08-16,,,
103,Late actor Sushant Singh Rajput developed an app which could detect Covid-19 infection just through a person's breathing.,Not Enough Evidence,"The 1st Q&A pair offers some details which confirm the death of the person in the claim which is also stated in the claim.
The claim also mentions an app which could detect covid being invented by the named person in the claim but the Q&A pair 2 state it found no answer to confirm or deny this so more evidence is needed .",2020-08-16,BlitzzToday,Facebook,IN
104,warm water is effective in curing migraine,Refuted,There is no cure for migraines ,2020-08-16,,,
105,"Sweden, despite never having had lockdown, has a lower COVID-19 death rate than Spain, Italy, and the United Kingdom.",Supported,"Comparing the COVID-19 death rate of Sweden with, it is apparent that it has a lower COVID-19 death rate than Spain, Italy, and the United Kingdom.",2020-08-16,Soo Kim,Newsweek,SE
106,warm water is effective in curing epilepsy,Refuted,Warm water doesn't cure any ailment ,2020-08-16,,,
107,The United States Postal Service advises customers to never send cash in the mail.,Supported,the us postal service does advise against sending cash in the mail. ,2020-08-16,,Facebook,US
108,Tricolour to be hoisted for first time at Niagara Falls to mark 74th Indian Independence Day.,Supported,Evidence supports the claim.,2020-08-14,Incredible India ,Twitter,CA
109,Former U.S. President George W. Bush supports the Democratic presidential ticket of Joe Biden and Kamala Harris.,Refuted,"From the question and asnwer pair it seems that the former president did not endorse Joe Biden. Therefore, the claim is refuted",2020-08-14,Satch Sullinger,Facebook,US
110,The United States has reached herd immunity for COVID-19,Refuted,"Although the 2ns Q&A pair is a little offf the mark, the 1st Q&A pair does give an official sounding persons answer to the claim who refutes the claim outright.",2020-08-14,,,
111,The Annabelle doll escaped from the Warren's Occult Museum on 14th August 2020 at 3am.,Refuted,The source shows that the doll was still in its case so the claim is refuted.,2020-08-14,MSK Thapa,Facebook,
112,"COVID-19 medical face masks are designed to be worn differently depending on the health of the wearer, masks should be worn colored side out if you are sick and do not want to spread germs around and the white side of the mask is the filter part to be worn facing out when the wearer is not sick, to prevent germs from getting in.",Not Enough Evidence,There is no shown other than a poster so I would like to see a question about whether it matters which way and where the filter is in a mask and how they work so therefore there is not enough evidence.,2020-08-14,Social Media Users,Social Media,US
113,Vitamin D prevents COVID-19 infection and reduces severity.,Refuted,The sources all show that vitamin D would not prevent getting covid-19. The source is a reputable website.,2020-08-13,Ross Walter,Facebook,GB
114,"The media is ignoring the tragic death of a 5-year-old boy who was fatally shot by a neighbor in Wilson, North Carolina, on August 9, 2020.",Refuted,The tragic death of the 5-year-old boy was adequately reported by the media. ,2020-08-13,William Gheen,Facebook - Stop Anti-White Racism,US
115,"The murder of Oscar Grant, by a police officer in the United States, was never prosecuted by the DA.",Refuted,The second source shows that the officer was charged with manslaughter so the claim is refuted.,2020-08-13,,Facebook,US
116,Former president Pranab Mukherjee from India has passed away.,Refuted,Evidence does not show that he had died at the time of this claim,2020-08-13,Rajdeep sardesai,Twitter,IN
117,Kamala Harris called Joe Biden 'A Racist And A Rapist',Refuted,No evidence shows that Kamala called Biden 'A Racist And A Rapist'.,2020-08-13,,Facebook,US
118,"COVID-19 has caused more casualties than WWI; the Korean, Vietnam, Iraq, and Afghanistan-US wars; and 9/11.",Refuted,The seventh and eight Q&A shows that the covid pandemic to the date of the claim was less than the amount of all the wars and events combined so the claim is refuted.,2020-08-12,Quinton Smith,,US
119,Creativity is contagious. Pass it on was said by Albert Einstein,Refuted,The answer below effectively states there is no evidence that Einstein said this. ,2020-08-11,,Facebook,US
120,"Kamala Harris said ""And once Trump’s gone and we have regained our rightful place in the White House, look out if you supported him and endorsed his actions, because we’ll be coming for you next"".",Refuted,The claim comes from a satire website called bustatroll.org - Hence false. ,2020-08-11,Kamala Harris,Facebook,US
121,Russia has successfully developed a vaccine for Covid-19 and it has passed all checks.,Refuted,"It seems from the 4th and 5th QAs that the vaccine has not passed the safety checks. Therefore, the claim is refuted",2020-08-11,Vladimir Putin,"facebook,twitter and whatapp",RU
122,"Kamala Harris was descended from enslavers, and this is an inconvenient part of her history and this is a deep dark secret.",Refuted,"It seems from the 3rd QA that she openly admits to her descendants. Therefore, the claim is refuted",2020-08-11,,The Gateway Pundit,US
123,"Democratic California Sen. Kamala Harris was the Alameda County district attorney when Oscar Grant, a 22-year-old black man, was shot and killed in Oakland, California.",Refuted,In office but in a different county.,2020-08-11,,Facebook,US
124,"Sarah Huckabee Sanders said ""it's not the government's job to protect my health"" and that ""when you trade liberty for safety, you end up losing both""",Refuted,The claim was produced by a suspended account not related to Sarah Huckabee Sanders.,2020-08-11,,,
125,President Trump Says He Hopes The NFL Season Gets Canceled Due To Coronavirus,Refuted,"Trump's speech didn't say he hopes the NFL gets cancelled, and he also didn't correlate between this and Coronavirus.",2020-08-11,Donald Trump,Fox Sports Radio,US
126,Russia has developed a new vaccine to fight COVID-19.,Supported,Russia did developed  the Sputnik V vaccine.,2020-08-11,@Russia,Twitter,RU
127,"All regular Indian Railways trains cancelled till 30th September, 2020.",Refuted,It seems from the answer to the question pair that there is no justification to the claim argument. Therefore the claim is refuted.,2020-08-10,,Facebook,IN
128,COVID-19 virus is airborne.,Supported,The answers and credible sources state that covid can be transmitted through the air so the claim is supported.,2020-08-10,President Rodrigo Duterte ,"RTVMalacanang, PRRD’s Statement",PH
129,LITTLE CAESARS IS OFFERING FREE PIZZA TO ANYONE WHO SHARES AND COMMENTS ON A FACEBOOK POST,Refuted,The claim seems refuted but the claim should specify a time range and so should the questions. Otherwise the claim and answer could refer to completely seperate events. ,2020-08-10,Little Caesars,Facebook,US
130,Amazon CEO Jeff Bezos has offered free one-day Prime shipping for all mail-in ballots.,Refuted,The source is listed as a satirical source.,2020-08-10,Gabby Yonge Bloor,Facebook,
